,state_name,date,election_type,party,govt_type,election_key,state_abbr
89,minnesota,1984-11-06,g,np,congress,1984-11-06-g-MN,MN
90,mississippi,1984-11-06,g,np,congress,1984-11-06-g-MS,MS
91,missouri,1984-11-06,g,np,congress,1984-11-06-g-MO,MO
92,pennsylvania,1984-11-06,g,np,congress,1984-11-06-g-PA,PA
93,rhode island,1984-11-06,g,np,congress,1984-11-06-g-RI,RI
94,south carolina,1984-11-06,g,np,congress,1984-11-06-g-SC,SC
95,south dakota,1984-11-06,g,np,congress,1984-11-06-g-SD,SD
96,tennessee,1984-11-06,g,np,congress,1984-11-06-g-TN,TN
97,texas,1984-11-06,g,np,congress,1984-11-06-g-TX,TX
98,utah,1984-11-06,g,np,congress,1984-11-06-g-UT,UT
99,vermont,1984-11-06,g,np,congress,1984-11-06-g-VT,VT
100,virginia,1984-11-06,g,np,congress,1984-11-06-g-VA,VA
101,washington,1984-11-06,g,np,congress,1984-11-06-g-WA,WA
102,west virginia,1984-11-06,g,np,congress,1984-11-06-g-WV,WV
103,wisconsin,1984-11-06,g,np,congress,1984-11-06-g-WI,WI
104,wyoming,1984-11-06,g,np,congress,1984-11-06-g-WY,WY
105,alaska,1984-11-06,g,np,congress,1984-11-06-g-AK,AK
106,hawaii,1984-11-06,g,np,congress,1984-11-06-g-HI,HI
107,guam,1984-11-06,g,np,congress,1984-11-06-g-GU,GU
108,american samoa,1984-11-06,g,np,congress,1984-11-06-g-AS,AS
109,northern mariana islands,1984-11-06,g,np,congress,1984-11-06-g-MP,MP
110,virgin islands,1984-11-06,g,np,congress,1984-11-06-g-VI,VI
111,puerto rico,1984-11-06,g,np,congress,1984-11-06-g-PR,PR
112,alabama,1986-11-04,g,np,congress,1986-11-04-g-AL,AL
113,arizona,1986-11-04,g,np,congress,1986-11-04-g-AZ,AZ
114,arkansas,1986-11-04,g,np,congress,1986-11-04-g-AR,AR
115,california,1986-11-04,g,np,congress,1986-11-04-g-CA,CA
116,colorado,1986-11-04,g,np,congress,1986-11-04-g-CO,CO
117,connecticut,1986-11-04,g,np,congress,1986-11-04-g-CT,CT
118,delaware,1986-11-04,g,np,congress,1986-11-04-g-DE,DE
119,district of columbia,1986-11-04,g,np,congress,1986-11-04-g-DC,DC
120,florida,1986-11-04,g,np,congress,1986-11-04-g-FL,FL
121,georgia,1986-11-04,g,np,congress,1986-11-04-g-GA,GA
