state_name,date,election_type,party,govt_type,election_key,state_abbr
south carolina,1984-11-06,g,np,congress,1984-11-06-g-SC,SC
south dakota,1984-11-06,g,np,congress,1984-11-06-g-SD,SD
tennessee,1984-11-06,g,np,congress,1984-11-06-g-TN,TN
texas,1984-11-06,g,np,congress,1984-11-06-g-TX,TX
utah,1984-11-06,g,np,congress,1984-11-06-g-UT,UT
vermont,1984-11-06,g,np,congress,1984-11-06-g-VT,VT
virginia,1984-11-06,g,np,congress,1984-11-06-g-VA,VA
washington,1984-11-06,g,np,congress,1984-11-06-g-WA,WA
west virginia,1984-11-06,g,np,congress,1984-11-06-g-WV,WV
wisconsin,1984-11-06,g,np,congress,1984-11-06-g-WI,WI
wyoming,1984-11-06,g,np,congress,1984-11-06-g-WY,WY
alaska,1984-11-06,g,np,congress,1984-11-06-g-AK,AK
hawaii,1984-11-06,g,np,congress,1984-11-06-g-HI,HI
guam,1984-11-06,g,np,congress,1984-11-06-g-GU,GU
american samoa,1984-11-06,g,np,congress,1984-11-06-g-AS,AS
northern mariana islands,1984-11-06,g,np,congress,1984-11-06-g-MP,MP
virgin islands,1984-11-06,g,np,congress,1984-11-06-g-VI,VI
puerto rico,1984-11-06,g,np,congress,1984-11-06-g-PR,PR
alabama,1986-11-04,g,np,congress,1986-11-04-g-AL,AL
arizona,1986-11-04,g,np,congress,1986-11-04-g-AZ,AZ
arkansas,1986-11-04,g,np,congress,1986-11-04-g-AR,AR
california,1986-11-04,g,np,congress,1986-11-04-g-CA,CA
colorado,1986-11-04,g,np,congress,1986-11-04-g-CO,CO
connecticut,1986-11-04,g,np,congress,1986-11-04-g-CT,CT
delaware,1986-11-04,g,np,congress,1986-11-04-g-DE,DE
district of columbia,1986-11-04,g,np,congress,1986-11-04-g-DC,DC
florida,1986-11-04,g,np,congress,1986-11-04-g-FL,FL
georgia,1986-11-04,g,np,congress,1986-11-04-g-GA,GA
idaho,1986-11-04,g,np,congress,1986-11-04-g-ID,ID
illinois,1986-11-04,g,np,congress,1986-11-04-g-IL,IL
indiana,1986-11-04,g,np,congress,1986-11-04-g-IN,IN
iowa,1986-11-04,g,np,congress,1986-11-04-g-IA,IA
kansas,1986-11-04,g,np,congress,1986-11-04-g-KS,KS
kentucky,1986-11-04,g,np,congress,1986-11-04-g-KY,KY
louisiana,1986-11-04,g,np,congress,1986-11-04-g-LA,LA
maine,1986-11-04,g,np,congress,1986-11-04-g-ME,ME
montana,1986-11-04,g,np,congress,1986-11-04-g-MT,MT
nebraska,1986-11-04,g,np,congress,1986-11-04-g-NE,NE
nevada,1986-11-04,g,np,congress,1986-11-04-g-NV,NV
new hampshire,1986-11-04,g,np,congress,1986-11-04-g-NH,NH
new jersey,1986-11-04,g,np,congress,1986-11-04-g-NJ,NJ
new mexico,1986-11-04,g,np,congress,1986-11-04-g-NM,NM
new york,1986-11-04,g,np,congress,1986-11-04-g-NY,NY
north carolina,1986-11-04,g,np,congress,1986-11-04-g-NC,NC
north dakota,1986-11-04,g,np,congress,1986-11-04-g-ND,ND
ohio,1986-11-04,g,np,congress,1986-11-04-g-OH,OH
oklahoma,1986-11-04,g,np,congress,1986-11-04-g-OK,OK
oregon,1986-11-04,g,np,congress,1986-11-04-g-OR,OR
maryland,1986-11-04,g,np,congress,1986-11-04-g-MD,MD
massachusetts,1986-11-04,g,np,congress,1986-11-04-g-MA,MA
michigan,1986-11-04,g,np,congress,1986-11-04-g-MI,MI
minnesota,1986-11-04,g,np,congress,1986-11-04-g-MN,MN
