STATE ,PRESIDENTIAL PRIMARY,PRESIDENTIAL CAUCUS DATE 
Ohio ,3/4/2008, 
Rhode Island ,3/4/2008, 
Texas ,3/4/2008, 
Vermont ,3/4/2008, 
Guam , ,3/8/2008 (Republicans)  
Wyoming , ,3/8/2008 (Democrats)  
Mississippi ,3/11/2008, 
Virgin Islands , ,4/5/2008 (Republicans) 
Pennsylvania ,4/22/2008, 
Guam , ,5/3/2008 (Democrats)  
Indiana ,5/6/2008, 
North Carolina,5/6/2008, 
Nebraska ,5/13/2008, 
West Virginia ,5/13/2008, 
Kentucky ,5/20/2008, 
Oregon ,5/20/2008, 
Idaho ,5/27/2008, 
Puerto Rico ,6/1/2008 (Democrats)  , 
Montana ,6/3/2008, 
South Dakota ,6/3/2008, 
New Mexico ,6/3/2008 (Republicans)  , 
Iowa ,  ,1/3/2012
New Hampshire,1/10/2012, 
Nevada ,  ,1/21/2012 (Democrats) 
South Carolina ,1/21/2012 (Republicans) ,  
South Carolina ,1/28/2012 (Democrats) , 
Florida ,1/31/2012, 
Maine , ,2/11/2012 (Republicans)
Nevada ,  ,2/4/2012 (Republicans) 
Minnesota ,  ,2/7/2012
Colorado ,  ,2/7/2012 (Republicans) 
Missouri ,2/7/2012,  
Arizona ,2/28/2012,  
Michigan ,2/28/2012,  
Washington ,  ,3/3/2012 (Republicans) 
Alaska , ,3/6/2012 (Republicans) 
American Samoa , ,3/6/2012 (Democrats) 
Colorado , ,3/6/2012 (Democrats) 
Georgia ,3/6/2012, 
Idaho , ,3/6/2012 (Republicans) 
Massachusetts  ,3/6/2012, 
North Dakota , ,3/6/2012 (Republicans) 
Ohio ,3/6/2012,  
Oklahoma ,3/6/2012,  
Tennessee  ,3/6/2012,  
Vermont ,3/6/2012,  
Virginia ,3/6/2012,  
Wyoming , ,3/10/2012 (Republicans) 
Hawaii , ,3/7/2012 (Democrats) 
Guam , ,3/10/2012 (Republicans) 
Kansas , ,3/10/2012 (Republicans) 
Northern Mariana Islands, ,3/10/2012 (Republicans) 
Virgin Islands , ,3/10/2012 (Republicans) 
Maine , ,3/11/2012 (Democrats) 
Alabama ,3/13/2012, 
American Samoa , ,3/13/2012 (Republicans) 
Hawaii , ,3/13/2012 (Republicans) 
Mississippi ,3/13/2012,  
Utah , ,3/13/2012 (Democrats) 
Missouri , ,3/17/2012 (Republicans) 
Puerto Rico ,3/18/2012 (Republicans) , 
Illinois ,3/20/2012,  
Louisiana ,3/24/2012,  
D.C. ,4/3/2012,  
Maryland ,4/3/2012, 
Wisconsin ,4/3/2012, 
Alaska , ,4/16/2012 (Democrats) 
Idaho , ,4/14/2012 (Democrats) 
Kansas , ,4/14/2012 (Democrats) 
Nebraska , ,4/14/2012 (Democrats) 
Wyoming , ,4/14/2012 (Democrats) 
Washington , ,4/15/2012 (Democrats) 
Connecticut ,4/24/2012,  
Delaware ,4/24/2012, 
New York ,4/24/2012,  
Pennsylvania ,4/24/2012,  
Rhode Island ,4/24/2012, 
Guam , ,5/5/2012 (Democrats) 
Indiana ,5/8/2012,  
North Carolina ,5/8/2012,  
West Virginia ,5/8/2012,  
Nebraska ,5/15/2012,  
Oregon ,5/15/2012,  
Arkansas ,5/22/2012, 
Kentucky ,5/22/2012, 
Texas ,5/29/2012, 
Puerto Rico , ,6/3/2012 (Democrats) 
Virgin Islands , ,6/3/2012 (Democrats) 
California ,6/5/2012, 
Montana ,6/5/2012, 
New Jersey ,6/5/2012,  
New Mexico ,6/5/2012, 
North Dakota , ,6/5/2012 (Democrats) 
South Dakota  ,6/5/2012, 
Utah ,6/26/2012, 
Nebraska , ,7/14/2012 (Republican Convention)
Iowa , ,2/1/2016
New Hampshire,2/9/2016, 
Nevada , ,2/20/2016 (Democrats) 
South Carolina ,2/20/2016 (Republicans) , 
Washington , ,2/20/2016 (Republicans) 
Nevada , ,2/23/2016 (Republicans) 
South Carolina ,2/27/2016 (Democrats) , 
Alabama ,3/1/2016, 
Alaska , ,3/1/2016 (Republicans) 
American Samoa , ,3/1/2016 (Democrats) 
Arkansas ,3/1/2016, 
Colorado , ,3/1/2016
Georgia ,3/1/2016, 
Massachusetts ,3/1/2016, 
Minnesota , ,3/1/2016
Oklahoma ,3/1/2016, 
Tennessee ,3/1/2016, 
Texas ,3/1/2016, 
Vermont ,3/1/2016, 
Virginia ,3/1/2016, 
Kansas , ,3/5/2016
Kentucky , ,3/5/2016 (Republicans) 
Louisiana ,3/5/2016, 
Maine , ,3/5/2016 (Republicans) 
Nebraska , ,3/5/2016 (Democrats) 
Maine , ,3/6/2016 (Democrats) 
Puerto Rico ,3/6/2016 (Republicans) , 
Hawaii , ,3/8/2016 (Republicans) 
Idaho ,3/8/2016, 
Michigan ,3/8/2016, 
Mississippi ,3/8/2016, 
D.C. , ,3/12/2016 (Republican Convention) 
Guam , ,3/12/2016 (Republican Convention) 
N. Mariana Islands , ,3/12/2016 (Democrats) 
Florida ,3/15/2016, 
Illinois ,3/15/2016, 
Missouri ,3/15/2016, 
North Carolina ,3/15/2016, 
N. Mariana Islands , ,3/15/2016 (Republicans) 
Ohio ,3/15/2016, 
Virgin Islands , ,3/19/2016 (Republicans) 
American Samoa , ,3/22/2016 (Republicans) 
Arizona ,3/22/2016, 
Idaho , ,3/22/2016 (Democrats) 
Utah , ,3/22/2016
Alaska , ,3/26/2016 (Democrats) 
Hawaii , ,3/26/2016 (Democrats) 
Washington , ,3/26/2016 (Democrats) 
North Dakota , ,4/2/2016 (Republican Convention) 
Wisconsin ,4/5/2016, 
Wyoming , ,4/16/2016 (Republican Convention) 
New York ,4/19/2016, 
Connecticut ,4/26/2016, 
Delaware ,4/26/2016, 
Maryland ,4/26/2016, 
Pennsylvania ,4/26/2016, 
Rhode Island ,4/26/2016, 
Indiana ,5/3/2016, 
Guam , ,5/7/2016 (Democrats) 
Nebraska ,5/10/2016, 
West Virginia ,5/10/2016, 
Kentucky ,5/17/2016, 
Oregon ,5/17/2016, 
Washington ,5/24/2016, 
Wyoming , ,5/28/2016 (Democratic Convention) 
Virgin Islands , ,6/4/2016 (Democrats) 
Puerto Rico ,6/5/2016 (Democrats) , 
California ,6/7/2016, 
Montana ,6/7/2016, 
New Jersey ,6/7/2016, 
New Mexico ,6/7/2016, 
North Dakota , ,6/7/2016 (Democrats) 
South Dakota ,6/7/2016, 
D.C. ,6/14/2016, 
Iowa , ,2/3/2020
New Hampshire,2/11/2020, 
Nevada , ,2/22/2020 (Democrats) 
South Carolina ,2/29/2020 (Democrats) , 
Alabama ,3/3/2020, 
American Samoa , ,3/3/2020 (Democrats) 
Arkansas ,3/3/2020, 
California ,3/3/2020, 
Colorado ,3/3/2020, 
Maine ,3/3/2020, 
Massachusetts ,3/3/2020, 
Minnesota ,3/3/2020, 
North Carolina ,3/3/2020, 
Oklahoma ,3/3/2020, 
Tennessee ,3/3/2020, 
Texas ,3/3/2020, 
Utah ,3/3/2020, 
Vermont ,3/3/2020, 
Virginia ,3/03/2020 (Democrats) , 
Hawaii , ,3/10/2020 (Republicans) 
Idaho ,3/10/2020, 
Michigan ,3/10/2020, 
Mississippi ,3/10/2020, 
Missouri ,3/10/2020, 
North Dakota , ,3/10/2020
Washington ,3/10/2020, 
Guam , ,3/14/2020 (Republican Convention) 
N. Mariana Islands , ,3/14/2020 (Democrats) 
N. Mariana Islands ,,3/15/2020 (Republicans) 
Arizona ,3/17/2020, 
Florida ,3/17/2020, 
Illinois ,3/17/2020, 
Wisconsin ,4/7/2020, 
Alaska ,4/10 Democrats , 
Wyoming , ,4/17/2020 (Democrats) 
Ohio ,4/28/2020, 
Kansas ,5/02 Democrats , 
Wyoming , ,5/09/2020 (Republican Convention) 
Nebraska ,5/12/2020, 
Oregon ,5/19/2020, 
Hawaii , ,5/22/2020 (Democrats) 
D.C. ,6/2/2020, 
Indiana ,6/2/2020, 
Maryland ,6/2/2020, 
Montana ,6/2/2020, 
New Mexico ,6/2/2020, 
Pennsylvania ,6/2/2020, 
Rhode Island ,6/2/2020, 
South Dakota ,6/2/2020, 
Guam , ,6/06/2020 (Democrats) 
Virgin Islands , ,6/06/2020 (Democrats) 
Georgia ,6/9/2020, 
West Virginia ,6/9/2020, 
Kentucky ,6/23/2020, 
New York ,6/23/2020, 
Delaware ,7/7/2020, 
New Jersey ,7/7/2020, 
Louisiana ,7/11/2020, 
Puerto Rico ,7/12/2020 (Democrats) , 
Connecticut ,8/11/2020, 
